lgacode21,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1999_hhds_with_indig_persons,1500_1999_other_hhds,1500_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_more_hhds_with_indig_persons,3000_more_other_hhds,3000_more_total_hhds
59250,0,0,0,4,0,7,5,0,5,9,4,8,0,0,5,8,0,6,0,3,9,9,3,6,3,6,9,4,3,6,0,4,6,0,3,3,0,6,6
59310,0,3,3,0,8,15,0,11,11,6,45,46,3,27,29,4,36,44,0,41,42,0,46,49,7,31,36,7,45,52,6,53,56,0,27,28,0,64,70
59320,0,0,0,0,0,0,0,3,3,0,17,18,0,3,3,0,9,9,0,11,10,3,12,17,0,12,12,0,24,24,0,15,15,0,7,7,0,23,23
59330,0,5,5,0,6,5,0,8,7,0,28,22,0,17,19,0,21,26,0,10,11,0,16,16,0,16,16,0,17,14,0,15,22,0,8,8,0,19,19
59340,9,6,16,27,4,37,39,19,56,50,29,76,31,29,63,44,31,77,61,37,98,65,68,132,67,78,140,53,188,244,59,185,244,35,127,160,72,358,433
59350,0,0,0,0,0,0,4,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,7,10,0,3,3,0,0,0,3,3,0
59360,0,3,3,0,12,12,0,5,11,0,29,30,4,16,19,0,19,18,0,21,23,0,32,31,0,26,28,0,25,25,3,40,42,0,29,29,0,51,51
59370,0,11,13,0,23,25,0,43,49,4,148,154,5,83,88,0,121,119,0,105,108,7,100,102,3,89,87,8,139,143,9,125,134,6,78,80,8,144,149
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60210,0,37,37,0,70,77,7,130,136,16,406,419,10,215,225,22,338,360,15,281,289,18,243,254,13,219,235,18,207,221,14,168,184,4,76,83,10,140,149
60410,5,15,20,20,85,104,28,160,191,60,455,520,67,274,345,82,490,569,80,423,508,92,526,618,98,483,585,124,700,820,88,673,759,58,423,483,71,711,786
60610,3,42,45,17,111,134,30,252,281,42,657,706,54,465,523,65,629,697,71,565,639,62,603,665,73,594,659,108,784,892,100,720,823,38,392,433,83,780,861
60810,11,58,67,11,134,151,25,234,261,63,832,902,62,494,552,83,804,892,68,622,694,68,666,740,64,620,684,108,888,994,107,734,845,67,471,539,114,926,1045
61010,0,13,13,0,14,14,3,39,41,8,141,144,3,54,62,13,85,97,8,60,67,4,72,75,11,74,79,5,107,118,7,70,77,4,35,37,4,76,77
61210,0,28,33,10,28,43,19,67,86,44,214,261,24,149,173,51,209,262,39,199,238,43,205,248,57,189,243,83,289,365,93,233,328,53,152,198,56,231,285
61410,9,108,107,16,221,235,41,463,503,61,1433,1493,62,1060,1131,78,1410,1490,88,1495,1579,88,1760,1848,108,1712,1826,147,2695,2836,150,2495,2650,90,1652,1745,177,4270,4444
61510,0,13,18,11,56,66,13,133,150,17,360,376,14,190,202,27,326,349,33,302,334,29,318,350,36,306,340,44,434,475,42,382,426,21,215,235,30,349,387
61610,3,67,71,16,158,173,33,327,361,62,960,1027,55,623,680,88,929,1016,121,808,926,82,788,870,68,779,848,121,1107,1223,102,889,993,59,541,598,83,947,1033
